CD CDi CDv CL alpha alpha_deg
0.004993379693158389 0.0005521042899343945 0.004441275403223995 0.15084147463096742 0.0 0.0
0.005244125948932725 0.001067284364846407 0.004176841584086318 0.20967879068142262 0.010685689297924466 0.6122448979591837
0.005858337253029585 0.001756233302503041 0.004102103950526544 0.269026304915805 0.021371378595848933 1.2244897959183674
0.007137114520708486 0.002561762756496248 0.004575351764212238 0.3244583805261908 0.0320570678937734 1.836734693877551
0.008401318319454527 0.0035506631342442745 0.004850655185210253 0.3824993039511675 0.042742757191697865 2.4489795918367347
0.009924015555320853 0.004696357592867599 0.005227657962453254 0.4397398850214053 0.05342844648962234 3.0612244897959187
0.011600072319734808 0.0059813210197479484 0.005618751299986858 0.4963994630097911 0.0641141357875468 3.673469387755102
0.013359582504208233 0.007456215701492868 0.005903366802715365 0.5543492591451848 0.07479982508547127 4.285714285714286
0.015332186667833531 0.009063360753687487 0.006268825914146044 0.610872554962717 0.08548551438339573 4.8979591836734695
0.01746053571975714 0.010797987546173515 0.006662548173583623 0.666687152898099 0.0961712036813202 5.510204081632653
0.019709828674062898 0.012680632760901488 0.007029195913161409 0.7225087223073822 0.10685689297924468 6.122448979591837
0.022157625427082633 0.014650703567226765 0.007506921859855867 0.7762777525060565 0.11754258227716914 6.73469387755102
0.024661823693345783 0.016778039313096103 0.007883784380249679 0.8307411157659893 0.1282282715750936 7.346938775510204
0.027259418326832235 0.019039527457582306 0.008219890869249928 0.8850116997497871 0.13891396087301808 7.959183673469388
0.029970846185231725 0.021406289730009968 0.008564556455221757 0.9383349386550214 0.14959965017094254 8.571428571428571
0.03279179945850786 0.023858574211259167 0.008933225247248693 0.9904221090980015 0.160285339468867 9.183673469387756
0.03569192825298867 0.02636974175124616 0.009322186501742508 1.0408951453925248 0.17097102876679146 9.795918367346939
0.038631191465241896 0.02889249514014152 0.009738696325100375 1.0889484363815256 0.18165671806471595 10.408163265306122
0.04130706710720568 0.031153588241919054 0.010153478865286626 1.1285922744291315 0.1923424073626404 11.020408163265307
0.043890120886635464 0.033223349199722745 0.010666771686912723 1.163436802703528 0.20302809666056487 11.63265306122449
0.04654524235942047 0.03528047961951 0.011264762739910469 1.197714213925875 0.21371378595848936 12.244897959183675
0.04930022526118442 0.03734916622937309 0.011951059031811324 1.2316888337034166 0.2243994752564138 12.857142857142858
0.05214496998391119 0.03941904648973035 0.012725923494180834 1.2650204896740929 0.23508516455433828 13.46938775510204
0.05507320531512315 0.04146337773811904 0.013609827577004107 1.2969835588444203 0.24577085385226277 14.081632653061225
0.058102822618198366 0.043479210738036324 0.014623611880162046 1.327699291443722 0.2564565431501872 14.693877551020408
0.061228663794224605 0.045447886732337066 0.015780777061887536 1.356932744560109 0.26714223244811164 15.306122448979592
0.0644675519544984 0.047351140009402756 0.017116411945095635 1.3844734799801843 0.27782792174603615 15.918367346938776
0.0678453497333386 0.04917210799880535 0.01867324173453325 1.4100332481105635 0.28851361104396056 16.53061224489796
0.07138268452797714 0.05088048965090785 0.020502194877069287 1.433381944557853 0.2991993003418851 17.142857142857142
0.07499964743104523 0.05243296832527405 0.022566679105771176 1.453453364356397 0.3098849896398095 17.755102040816325
0.07926170384491014 0.0543307635866988 0.024930940258211343 1.4810194767169922 0.320570678937734 18.367346938775512
0.08409102289798594 0.05622112752955548 0.027869895368430455 1.5074117147827875 0.33125636823565846 18.979591836734695
0.08953696941637071 0.05820724020125231 0.03132972921511841 1.5350938388258468 0.3419420575335829 19.591836734693878
0.09579899690902108 0.0604411524482484 0.03535784446077268 1.5665557090841242 0.3526277468315074 20.20408163265306
0.10274913963090196 0.06273502333712745 0.0400141162937745 1.5974547273252793 0.3633134361294319 20.816326530612244
0.11008845211070159 0.0647198595070632 0.04536859260363839 1.621738842828146 0.37399912542735636 21.42857142857143
0.11765351264402463 0.06613623330502451 0.05151727933900011 1.6354740542978674 0.3846848147252808 22.040816326530614
0.13523722421440104 0.07452978823354466 0.06070743598085637 1.5888964518205275 0.3953705040232052 22.653061224489797
0.16340443267815913 0.07505726128821924 0.08834717138993989 1.510885115259513 0.40605619332112974 23.26530612244898
0.17679669413571936 0.07646769319086476 0.10032900094485458 1.4755134796119018 0.4167418826190542 23.877551020408163
0.19188969990243682 0.07673264208819724 0.11515705781423959 1.457657990384497 0.4274275719169787 24.48979591836735
0.22326235192031793 0.06944438972877132 0.15381796219154661 1.3653378293440974 0.4381132612149032 25.102040816326532
0.23630555997357744 0.06828559319693743 0.16801996677664002 1.3474251584586743 0.4487989505128276 25.714285714285715
0.24853793226034715 0.06398082673852573 0.18455710552182142 1.3186890376504026 0.45948463981075205 26.3265306122449
0.25964827421969927 0.06376858659808517 0.19587968762161412 1.3114655738022996 0.47017032910867657 26.93877551020408
0.2655642995091089 0.06257231399483273 0.2029919855142762 1.3167994481741632 0.48085601840660097 27.551020408163264
0.28114536284613234 0.05940716062579604 0.2217382022203363 1.2917012135874355 0.49154170770452554 28.16326530612245
0.28993168115420564 0.06089365995859753 0.2290380211956081 1.2939807605007758 0.5022273970024499 28.775510204081634
0.3031945516912475 0.045340450387379556 0.25785410130386793 1.1871236488583197 0.5129130863003744 29.387755102040817
0.31323180274761864 0.03739189473584485 0.27583990801177377 1.1407739417766436 0.5235987755982988 30.0
