CD CDi CDv CL alpha alpha_deg
0.0050812313063475535 0.000627498996713037 0.004453732309634516 0.14877013739644881 0.0 0.0
0.005401571317009032 0.0012148999574251105 0.004186671359583921 0.20691698689440274 0.010685689297924466 0.6122448979591837
0.006086338710948097 0.0019959940746176632 0.004090344636330435 0.26525204869215613 0.021371378595848933 1.2244897959183674
0.007347724120297912 0.002944616619274928 0.004403107501022984 0.32129764880337375 0.0320570678937734 1.836734693877551
0.008873198746283558 0.004039205496312399 0.004833993249971159 0.3771813722075317 0.042742757191697865 2.4489795918367347
0.010524122917211151 0.005357923060084019 0.005166199857127132 0.4339130374896127 0.05342844648962234 3.0612244897959187
0.012374642033448409 0.0068373161339286715 0.0055373258995197365 0.49022877239497414 0.0641141357875468 3.673469387755102
0.014388966112520364 0.00848795390835014 0.005901012204170225 0.5465065318639782 0.07479982508547127 4.285714285714286
0.01656235851867319 0.010343314711721176 0.0062190438069520135 0.6028315044444172 0.08548551438339573 4.8979591836734695
0.018923963226169578 0.012352834935463658 0.006571128290705921 0.6584411713782788 0.0961712036813202 5.510204081632653
0.02146881164153993 0.014505921652951411 0.006962889988588517 0.7131457459710115 0.10685689297924468 6.122448979591837
0.02417179143518734 0.01680382379494762 0.0073679676402397185 0.7672142393420572 0.11754258227716914 6.73469387755102
0.027007463314873463 0.01924852556869967 0.007758937746173794 0.8209306486912217 0.1282282715750936 7.346938775510204
0.029973411301954342 0.02183734355531932 0.008136067746635023 0.8741543468706503 0.13891396087301808 7.959183673469388
0.03306958836758831 0.024564504693551585 0.008505083674036728 0.9266858450440412 0.14959965017094254 8.571428571428571
0.036290006953325286 0.027425654196243352 0.008864352757081934 0.9783041092980426 0.160285339468867 9.183673469387756
0.03961760961355637 0.030395768176490867 0.009221841437065503 1.0280831213031336 0.17097102876679146 9.795918367346939
0.04301238707901397 0.03340469344714615 0.009607693631867817 1.0746235322479551 0.18165671806471595 10.408163265306122
0.0464249666049252 0.036392901103735165 0.010032065501190035 1.1177156903442909 0.1923424073626404 11.020408163265307
0.049796576219759706 0.03928861685610399 0.010507959363655714 1.1575389398159543 0.20302809666056487 11.63265306122449
0.053104786026256554 0.04205674718040325 0.011048038845853302 1.1945784288318964 0.21371378595848936 12.244897959183675
0.05636617337469352 0.04470249092483733 0.011663682449856185 1.229367611728428 0.2243994752564138 12.857142857142858
0.059619150182501995 0.04725062410792867 0.012368526074573328 1.2623374636058562 0.23508516455433828 13.46938775510204
0.06290357743696105 0.04973058335781695 0.013172994079144101 1.2938200112926228 0.24577085385226277 14.081632653061225
0.06626374815168434 0.05216771275369579 0.014096035397988553 1.3239361834185477 0.2564565431501872 14.693877551020408
0.06975129837485033 0.05459349780874195 0.015157800566108381 1.3528890512450344 0.26714223244811164 15.306122448979592
0.07340632344509858 0.057023414158914286 0.01638290928618429 1.3806294491157218 0.27782792174603615 15.918367346938776
0.07720318144053112 0.0594207189076401 0.01778246253289103 1.407116895857762 0.28851361104396056 16.53061224489796
0.08117097524972827 0.06176108819168825 0.019409887058040025 1.4328983203007082 0.2991993003418851 17.142857142857142
0.08535003571683222 0.06404765405355214 0.021302381663280086 1.458009117699 0.3098849896398095 17.755102040816325
0.08978810570090989 0.06627251994681782 0.02351558575409207 1.4832483798376326 0.320570678937734 18.367346938775512
0.09460713952462728 0.06849754819506758 0.0261095913295597 1.5089900164377517 0.33125636823565846 18.979591836734695
0.09988995444860331 0.07075936007115631 0.029130594377447 1.534919816828024 0.3419420575335829 19.591836734693878
0.10573079170205235 0.07308568677968856 0.03264510492236379 1.560155398857117 0.3526277468315074 20.20408163265306
0.11216864093737311 0.07549340465636022 0.036675236281012887 1.5835310945240475 0.3633134361294319 20.816326530612244
0.12310318078921918 0.0797210807446891 0.04338210004453008 1.5947412607271725 0.37399912542735636 21.42857142857143
0.13381053860375472 0.08359460302255549 0.05021593558119923 1.6022441761658803 0.3846848147252808 22.040816326530614
0.14951962795440177 0.08820139861891071 0.06131822933549107 1.5855503744172388 0.3953705040232052 22.653061224489797
0.16470842415269094 0.09133078080162334 0.07337764335106761 1.566282594310338 0.40605619332112974 23.26530612244898
0.1785142998302153 0.09372148021232722 0.08479281961788808 1.5469577574677928 0.4167418826190542 23.877551020408163
0.2024304640700671 0.09059309911966765 0.11183736495039946 1.4664440341849776 0.4274275719169787 24.48979591836735
0.21680517900875673 0.08737744131805371 0.12942773769070304 1.4176897797646921 0.4381132612149032 25.102040816326532
0.2290432040993921 0.08475716617907408 0.14428603792031802 1.397041437602451 0.4487989505128276 25.714285714285715
0.24652270095150347 0.07798702426399452 0.16853567668750896 1.3568535910077868 0.45948463981075205 26.3265306122449
0.26213917385023483 0.07356834529018368 0.18857082856005114 1.3242005314482999 0.47017032910867657 26.93877551020408
0.2783236057224776 0.06683309589007122 0.21149050983240636 1.281886624196308 0.48085601840660097 27.551020408163264
0.2842352943282316 0.06838254017569445 0.2158527541525371 1.285497299723841 0.49154170770452554 28.16326530612245
0.29810936290518897 0.058250923023324255 0.2398584398818647 1.2298894915528988 0.5022273970024499 28.775510204081634
0.3079172540058557 0.05456105950957469 0.253356194496281 1.2063046076064092 0.5129130863003744 29.387755102040817
0.31716498007332916 0.0476408816230912 0.26952409845023795 1.1684567237661014 0.5235987755982988 30.0
